Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,VBK,VGT,VUG,VZ,WEC,XOM
2010-07-01,24025962338.256836,24235190395.85495,66934039253.54004,16627664028.682709,6814956373.550415,12722602192.521095,12172865602.69165,,3787608950.117111,,,103307713281.40259,12203784502.532959,67157399746.11282,14080432641.830444,40020685918.540955,3443404119.8730474,55885344863.12866,101839290341.75873,8519986731.231689,,,,,,,,,47178168459.57756,4659790950.782776,129083909114.26544
2010-07-02,23958042320.919037,24198306777.843475,66765437922.36328,16721362570.1561,6861020390.701294,12755550728.201866,12162566848.205566,,3758153274.7211456,,,103325234645.23315,12173600545.578003,67184275676.13602,14076651003.990171,39678735054.55017,3452523083.4960938,55894409050.56,101565608123.32153,8382662260.375977,,,,,,,,,47942051678.78151,4717665467.674255,128992755871.77277
2010-07-06,24491732329.25415,24213676092.510223,67013393303.68042,16887956864.883423,6929330154.006959,12920254193.544388,12296482576.507568,,3747699405.6606293,,,103325234645.23315,12113222938.682556,67694370873.92807,14055849651.39389,39660748333.32062,3341995312.5,55994331852.53143,101497205730.47638,8295629810.424805,,,,,,,,,47584416749.55368,4795140778.884888,131022106543.92242
2010-07-07,25035129061.079025,24893024093.330383,68888103123.16895,17439786762.8479,7108838450.241089,13213068643.09311,12512812280.685425,,3818967681.722641,,,106001031888.19885,12334602420.021057,69090392947.7501,14260079195.041656,40380634012.0697,3539117413.330078,57166190684.127815,104028633929.59595,8703735114.105225,,,,,,,,,48285383539.06632,4924891799.32022,133233930444.7937
2010-07-08,24821644784.517284,25194277373.18802,69840330186.61499,17408551727.535248,7199386689.8498535,13315548631.429672,12706599636.932373,,3884532827.8656006,,,107347707024.15466,12459376068.67218,70365606057.10983,14400015034.217834,41406511123.42834,3576720135.4980464,58138192796.89789,105961440004.34875,8827519222.244263,,,,,,,,,48758758467.57889,4945426179.840088,134100457941.28418
2010-07-09,24841059822.502136,25252675294.544224,71258788320.00732,17481431726.07422,7191444656.494141,13333849654.078484,12509356942.5354,,3907339308.8321686,,,105878603997.19238,12417111882.31659,70338763307.24716,14227932928.92456,41526480977.7832,3600649768.066406,57683994200.70648,105619345014.91547,8933897500.930786,,,,,,,,,48522082644.45305,4955693821.689605,134032013607.6355
2010-07-12,24511134639.1964,25464788602.226257,71268674371.49048,17585549385.711666,7212094949.813843,13410715862.035751,12533578509.56726,,3876930667.5434113,,,105301475604.70581,12463402811.805725,70405886771.9841,14133384949.493408,41958432000.54169,3574442358.3984375,57902001524.16229,106200895080.98602,8984184898.07129,,,,,,,,,48230755594.25354,4969697915.760041,134396864782.94373
2010-07-13,24559652346.59195,25560071852.336884,72637529941.55884,17533490555.892944,7231159297.027588,13564435844.540596,12588943719.924927,,3970053608.909607,,,105808676867.4469,12551948234.664917,70768305370.33081,14282770194.320679,42498352389.45007,3635968286.1328125,57620394837.760925,106714042754.21143,9232726746.948242,,,,,,,,,48959047997.30301,5007969530.914307,135491402428.51257
2010-07-14,24346182389.07814,25609254001.419067,72459006661.83472,17658434635.822296,7239101330.383301,13579074749.827385,12543957064.01062,,3980505177.509308,,,106018521586.91406,12543904441.383362,70902560594.84482,14277096565.322876,42534357356.83441,3639390069.580078,57738479359.2453,107175839336.586,9235628489.151001,,,,,,,,,48868022117.95807,5017304489.74228,135126551253.20435
2010-07-15,24744024407.711025,25541623200.359344,72449055995.63599,17783378715.751648,7266107710.952759,13666917745.70942,12481669777.359009,,4005212126.667022,,,105388902988.20496,12584153871.45996,70942841309.71909,14362196311.340332,42792325820.007324,3627994995.1171875,57375133820.15228,107295582442.13104,9159231357.025148,,,,,,,,,48795175803.99514,5031306175.33493,135149323683.47168
