Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,SPY,VBK,VGT,VUG,VZ,WEC,XOM
2008-12-11,11.609841346740723,19.579679489135742,40.3381233215332,20.455455780029297,19.708572387695312,3.5340538024902344,17.133609771728516,80.6500015258789,22.944189071655273,12.956999778747559,,35.441680908203125,27.394245147705078,13.153349876403809,45.32346725463867,38.2052001953125,7.995596408843994,31.953126907348633,35.69121551513672,35.038692474365234,25.137683868408203,,4.016136646270752,,,64.1555404663086,34.469627380371094,28.5679931640625,31.824161529541016,12.634756088256836,11.811026573181152,42.84545135498047
2008-12-12,12.183566093444824,19.800355911254883,40.1046142578125,20.539749145507812,19.632823944091797,3.467088222503662,17.31485366821289,80.80999755859375,23.069894790649414,13.079155921936035,,34.8332405090332,27.420862197875977,13.257452011108398,46.27513885498047,38.02946853637695,8.738102912902832,31.540916442871094,35.91053771972656,37.33479690551758,25.64751625061035,,3.996288537979126,,,64.92153930664062,35.456485748291016,29.17491912841797,31.915924072265625,12.763163566589355,11.991679191589355,43.075706481933594
2008-12-15,12.178150177001953,19.86054229736328,39.70355987548828,20.385196685791016,19.51163673400879,3.475458860397339,17.020326614379883,82.5999984741211,21.76495361328125,12.895927429199219,,35.173954010009766,27.564531326293945,13.376440048217773,45.1212272644043,38.09223175048828,8.57450008392334,31.77733039855957,36.166446685791016,36.607421875,25.19817352294922,,3.9457716941833496,,,64.01693725585938,34.43437957763672,28.798795700073242,31.740741729736328,12.568603515625,12.100642204284668,42.80797576904297
2008-12-16,12.178150177001953,20.937149047851562,40.10968017578125,20.98931312561035,19.870155334472656,3.5876243114471436,17.346010208129883,84.45999908447266,22.26777458190918,13.685564041137695,,36.26306915283203,27.883811950683594,13.819636344909668,46.637969970703125,39.49188995361328,9.81201457977295,32.862430572509766,37.543392181396484,41.5198974609375,26.407955169677734,,4.144232273101807,,,67.02993774414062,36.258304595947266,30.106664657592773,33.05875015258789,13.035552978515625,12.318565368652344,44.51602554321289
2008-12-17,12.167327880859375,20.790035247802734,38.9979133605957,20.52570152282715,19.50153923034668,3.621107339859009,17.374324798583984,85.43000030517578,22.848426818847656,13.724822044372559,,35.76415252685547,27.00048065185547,13.528133392333984,46.935367584228516,39.30988693237305,10.067904472351074,32.935176849365234,36.98286437988281,41.79130172729492,26.088226318359375,,4.156861305236816,,,66.38059997558594,36.97201919555664,29.816030502319336,32.95864486694336,13.249565124511719,11.725003242492676,43.402320861816406
2008-12-18,12.373003959655762,21.371814727783203,37.07391357421875,20.750478744506836,19.68836212158203,3.5742316246032715,17.034488677978516,83.87000274658203,22.423402786254883,13.415081977844238,,35.891910552978516,28.03282356262207,13.43890380859375,46.77476501464844,38.46881866455078,9.656803131103516,33.16555404663086,36.74525451660156,39.09894561767578,25.630239486694336,,4.10273551940918,,,65.14041137695312,36.47858810424805,29.055233001708984,32.466487884521484,12.957728385925293,11.785219192504883,41.22846984863281
2008-12-19,12.345940589904785,21.73291778564453,35.96723556518555,20.62404441833496,19.51163673400879,3.584277868270874,16.708803176879883,82.62999725341797,22.207916259765625,13.519780158996582,,35.80065155029297,27.197359085083008,13.215810775756836,47.589630126953125,37.85999298095703,10.294434547424316,32.789710998535156,36.66605758666992,40.87937545776367,25.84052085876465,,4.089344501495361,,,64.86021423339844,36.69887161254883,29.465551376342773,32.64166259765625,12.914928436279297,11.885579109191895,40.16829299926758
2008-12-22,12.410892486572266,22.114076614379883,35.22605514526367,20.848833084106445,19.69342613220215,3.4804821014404297,16.530397415161133,83.45999908447266,21.717069625854492,13.140233039855957,,35.85541915893555,27.905099868774414,13.284224510192871,46.94131088256836,38.537864685058594,10.067904472351074,32.583587646484375,36.836631774902344,40.27144241333008,25.27801513671875,,3.9518251419067383,,,64.02916717529297,35.82655334472656,28.737199783325195,32.070281982421875,13.004420280456543,11.934325218200684,40.109397888183594
2008-12-23,12.573266983032227,22.017114639282227,35.12959671020508,20.286861419677734,19.309642791748047,3.3900790214538574,16.43410873413086,82.62999725341797,21.788894653320312,13.061391830444336,,35.70328903198242,27.271865844726562,13.078985214233398,46.560646057128906,38.06713104248047,10.17277717590332,32.83818817138672,36.45281982421875,40.03800964355469,25.14822006225586,,3.9518251419067383,,,63.36721420288086,35.30668640136719,28.49556541442871,31.75194549560547,12.75927734375,11.805289268493652,40.21114730834961
2008-12-24,12.562439918518066,22.608915328979492,35.342803955078125,20.52570152282715,19.3702449798584,3.339857339859009,16.55304527282715,83.45999908447266,21.758968353271484,13.070149421691895,,35.63028335571289,27.74547004699707,13.117653846740723,47.1197624206543,38.462554931640625,9.866546630859375,33.06248474121094,36.79400634765625,39.97288131713867,25.217449188232422,,3.948207378387451,,,63.734962463378906,35.57734680175781,28.55597496032715,31.869239807128906,12.782628059387207,11.833967208862305,40.5752067565918
2008-12-26,12.50290298461914,22.7694091796875,35.713401794433594,20.441390991210938,19.345001220703125,3.371664047241211,16.62668228149414,85.5999984741211,21.633256912231445,13.188414573669434,,35.63028335571289,27.692251205444336,13.260432243347168,48.24391174316406,38.32445526123047,9.837190628051758,33.07460403442383,36.87929153442383,40.57538604736328,25.20878791809082,,3.998873472213745,,,64.10266876220703,35.96909713745117,28.59048843383789,32.02838897705078,12.914928436279297,11.957274436950684,41.33019256591797
