window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
72,48,48,2020-01-07,2025-10-30,2123,0.8057642565642185,0.1071578897954577,0.20015425076897778,0.5353765377640747,-0.3498053451918266
36,48,12,2020-01-06,2025-10-30,2124,0.7916471265723846,0.1055862773336711,0.1980515397560877,0.5331252534754686,-0.33057712484994395
72,48,24,2020-01-07,2025-10-30,2123,0.7967934433763841,0.10620852905150402,0.1997372074925879,0.5317413334490788,-0.3498053451918266
72,48,12,2020-01-07,2025-10-30,2123,0.7898329369398573,0.10546920762828638,0.19971097331431595,0.5281092264384152,-0.3498053451918266
480,48,120,2020-01-31,2025-10-30,2099,0.7286013569481624,0.10007931511962731,0.1917540679597352,0.5219149517111789,-0.3404208932792694
480,48,24,2020-01-31,2025-10-30,2099,0.7029017368127914,0.09721137587828133,0.19535942711728366,0.49760268707135724,-0.3404208932792694
480,48,12,2020-01-31,2025-10-30,2099,0.7029017368127914,0.09721137587828133,0.19535942711728366,0.49760268707135724,-0.3404208932792694
120,48,48,2020-01-09,2025-10-30,2121,0.7227725869019421,0.09836246685617711,0.19816230607155916,0.4963732447716725,-0.34980534519182627
360,48,120,2020-01-24,2025-10-30,2106,0.6530789119197193,0.09121863435532185,0.1960332031614122,0.4653223682735681,-0.34980534519182627
120,48,96,2020-01-09,2025-10-30,2121,0.6617573736609363,0.09155221856274731,0.19675338103017342,0.4653145886662409,-0.34980534519182627
72,48,96,2020-01-07,2025-10-30,2123,0.6344125778260776,0.08830668505102235,0.1996689210127789,0.4422655494060124,-0.3498053451918266
72,48,120,2020-01-07,2025-10-30,2123,0.621494330478698,0.08682015179557001,0.1996448310881458,0.43487302587482357,-0.3498053451918266
120,48,120,2020-01-09,2025-10-30,2121,0.6081799510224215,0.08539932802167316,0.1966018396984298,0.4343770544195738,-0.34980534519182627
240,48,48,2020-01-17,2025-10-30,2113,0.5984477677428373,0.08462530217241104,0.19750707165563683,0.4284672010122218,-0.3566431174142506
360,48,48,2020-01-24,2025-10-30,2106,0.5683448926298467,0.08129199720006919,0.19699997599946917,0.41264978225321325,-0.34980534519182627
240,48,24,2020-01-17,2025-10-30,2113,0.5642389541593948,0.08056897772415939,0.19769189746347363,0.40754820383594953,-0.3566431174142506
240,48,12,2020-01-17,2025-10-30,2113,0.5597143388570558,0.08002699114634582,0.1976950654393263,0.4048001449530693,-0.3566431174142506
480,48,96,2020-01-31,2025-10-30,2099,0.5121823340317628,0.07473232154985099,0.19495233170329412,0.3833363822679954,-0.3404208932792694
360,48,96,2020-01-24,2025-10-30,2106,0.5006646943976876,0.07303965249258271,0.19628170104817258,0.37211646374848206,-0.34980534519182627
360,48,24,2020-01-24,2025-10-30,2106,0.5069161328130745,0.07381464759108547,0.1988951182270314,0.3711234757749498,-0.34980534519182627
240,48,120,2020-01-17,2025-10-30,2113,0.4803930706221142,0.07030758054436181,0.19623455501057932,0.3582833845984537,-0.3566431174142506
360,48,12,2020-01-24,2025-10-30,2106,0.4780411074297495,0.07021250576124904,0.19898653064296984,0.35285054488048406,-0.34980534519182627
240,48,96,2020-01-17,2025-10-30,2113,0.4613509862206351,0.06791037648269294,0.19656546586662071,0.34548477873917816,-0.3566431174142506
