p,window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
2,360,6,96,2020-02-14,2025-10-30,2085,1.069148997923433,0.13610244993029008,0.1915990524568123,0.7103503289034714,-0.3345107157070082
2,120,6,96,2020-01-31,2025-10-30,2099,1.0887900404742168,0.13697076859969437,0.1928615993847461,0.7102023888459349,-0.3404208588878699
2,36,6,24,2020-01-27,2025-10-30,2103,1.0820400141540492,0.13592904469483247,0.19140470778368499,0.71016562898992,-0.33057711603347006
2,36,6,48,2020-01-27,2025-10-30,2103,1.0776746630519431,0.13551476816619545,0.1909661958600923,0.7096269973638566,-0.33057711603347006
2,36,6,12,2020-01-27,2025-10-30,2103,1.0732069816804812,0.1350900350780515,0.19113815348855814,0.7067664545903349,-0.33057711603347006
2,72,12,48,2020-10-13,2025-10-30,1843,0.658144652889918,0.10563801302007603,0.15074734077604,0.7007620331891539,-0.22263059942516006
2,240,6,48,2020-02-07,2025-10-30,2092,1.0625764067591295,0.1349678902991569,0.19436152512091528,0.6944167072942616,-0.3498053473030366
2,480,6,48,2020-02-24,2025-10-30,2075,1.0173291044809876,0.13154382277173937,0.19243471469727746,0.6835763649956472,-0.30999794291289506
2,480,6,96,2020-02-24,2025-10-30,2075,1.008802563738819,0.13070012700613298,0.19124385199295554,0.6834213264588883,-0.30999794291289506
2,480,6,12,2020-02-24,2025-10-30,2075,1.0116787791502655,0.1309850558983192,0.19209251893338286,0.6818852531354668,-0.30999794291289506
2,480,6,24,2020-02-24,2025-10-30,2075,1.013628420355416,0.13117800400045243,0.19289412697670896,0.6800518297599156,-0.30999794291289506
2,120,6,48,2020-01-31,2025-10-30,2099,1.0244698034202249,0.13079024384695015,0.1924714486186946,0.6795306253763322,-0.3404208588878699
2,72,6,12,2020-01-29,2025-10-30,2101,1.0294846080850082,0.13108518015336368,0.1936330131575805,0.6769774328031823,-0.33057711603347006
2,120,6,120,2020-01-31,2025-10-30,2099,1.0105053139412163,0.12942701640947796,0.19155241895341782,0.6756741424442796,-0.3404208588878699
2,36,6,120,2020-01-27,2025-10-30,2103,0.9979711939723741,0.12782140758267047,0.19168613233865234,0.6668265775056074,-0.33057711603347006
2,360,6,120,2020-02-14,2025-10-30,2085,0.9652692506721117,0.1258794528144751,0.18962655398858808,0.6638281937141075,-0.3345107157070082
2,72,12,12,2020-10-13,2025-10-30,1843,0.6116812516711865,0.09941540447011477,0.15116569585863124,0.6576584978849113,-0.22263059942516106
2,240,6,120,2020-02-07,2025-10-30,2092,0.9713716248279327,0.12602670392159054,0.1927964419232468,0.6536775402305526,-0.3498053473030366
2,72,12,24,2020-10-13,2025-10-30,1843,0.6063745222602976,0.0986955871513393,0.1510147096373364,0.653549494538366,-0.22263059942516028
2,240,6,12,2020-02-07,2025-10-30,2092,0.9832210429365102,0.1272074034876438,0.1952324133669142,0.6515690775617975,-0.3498053473030366
2,120,6,24,2020-01-31,2025-10-30,2099,0.9361541809774505,0.12203429239502839,0.19204729477697804,0.6354387471937326,-0.3404208588878699
2,360,6,48,2020-02-14,2025-10-30,2085,0.8752260868481996,0.11665108034873728,0.1931661715860984,0.6038897980474979,-0.3345107157070082
2,72,6,96,2020-01-29,2025-10-30,2101,0.8682245022888093,0.1149044649752069,0.19300160177598435,0.5953549810875441,-0.33057711603347006
2,120,6,12,2020-01-31,2025-10-30,2099,0.8557615991116521,0.11377226041833555,0.1923142698264331,0.5915955197761297,-0.3404208588878699
2,360,6,24,2020-02-14,2025-10-30,2085,0.762596299742565,0.10457889355039707,0.19330806028118586,0.5409960319206382,-0.3345107157070082
2,360,6,12,2020-02-14,2025-10-30,2085,0.7457444691849311,0.1027182830851825,0.19326846002245798,0.5314798031362516,-0.3345107157070082
2,360,24,48,2022-04-01,2025-10-30,1308,0.3405785276760689,0.08562910657760425,0.1657188470885283,0.516713144473305,-0.22000930308609534
2,360,24,120,2022-04-01,2025-10-30,1308,0.3285770674484134,0.08289592688736414,0.16467840188588054,0.503380685858305,-0.22224546513140386
2,36,24,12,2022-03-14,2025-10-30,1326,0.3327484531336513,0.0825105541194453,0.17550694887761842,0.47012699296014876,-0.2691438392952945
2,360,24,96,2022-04-01,2025-10-30,1308,0.30029365241394945,0.0763837258470299,0.1653210064842973,0.4620327898516942,-0.22224546513140386
2,360,24,12,2022-04-01,2025-10-30,1308,0.2903844441999677,0.07407804056782541,0.16382167901910244,0.45218704271238447,-0.22000930308609534
2,240,24,12,2022-03-25,2025-10-30,1315,0.29132169392508245,0.07387091600176943,0.1636601383234432,0.4513677964500897,-0.2377053204891202
2,360,24,24,2022-04-01,2025-10-30,1308,0.2837895155668,0.07253645374446527,0.16433859018544106,0.4413841792278644,-0.22000930308609534
2,240,24,24,2022-03-25,2025-10-30,1315,0.2652714158548204,0.0677875082289896,0.16386282572633518,0.4136844823010711,-0.2377053204891202
2,240,24,96,2022-03-25,2025-10-30,1315,0.2527792402174287,0.06483817631079525,0.16303286602513845,0.3977000336901253,-0.23661688849206675
2,240,24,120,2022-03-25,2025-10-30,1315,0.25061493626891185,0.06432504303417486,0.16279097363873887,0.3951388802239317,-0.23661688849206675
2,36,24,24,2022-03-14,2025-10-30,1326,0.2555743333780367,0.0648337546815474,0.1708040140265129,0.3795798070148611,-0.2504707163734027
2,36,24,120,2022-03-14,2025-10-30,1326,0.2477021415799865,0.06298681404309181,0.16906589030558708,0.3725577875539706,-0.25559353617519265
2,240,24,48,2022-03-25,2025-10-30,1315,0.22167071597718557,0.057400313988063445,0.1647272485883141,0.3484567033078914,-0.2534718897102819
2,36,24,48,2022-03-14,2025-10-30,1326,0.23105139432733957,0.05905231388289556,0.1709736191614177,0.34538845333293056,-0.2504707163734027
2,120,24,12,2022-03-18,2025-10-30,1322,0.22987641537197612,0.059039336439047796,0.17116282675101918,0.3449308331705047,-0.26979111287033564
2,120,24,96,2022-03-18,2025-10-30,1322,0.2174378791017273,0.05605910340237785,0.16768401429555188,0.33431393945263466,-0.29955922750873754
2,120,24,24,2022-03-18,2025-10-30,1322,0.2198547246531275,0.056639888736637944,0.1712752962850945,0.3306950270420704,-0.26979111287033564
2,120,24,120,2022-03-18,2025-10-30,1322,0.20606208267590076,0.05331416985208337,0.16643499443936302,0.32033028890151605,-0.30143270351995743
